,,,,,,,MEN DENIM SIZE CURVE,28,29,30,31,32,33,34,36,38,40,42,,
,,,,,,,WOMEN DENIM SIZE CURVE,24,25,26,27,28,29,30,31,32,33,34,,
,,,,,,,TOPS SIZE CURVE,XS,S,M,L,XL,2XL,3XL,4XL,,,,,
REF,Supplier Code,Gender,COLOUR,Description,Wholesale Price,Recommended Retail Price,Category,,,,,,,,,,,,Total Units,Total Value
TR82,109293 1702,MEN,WHITE,True Religion Ss Skeleton Hs Embro Tee Winter White,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R17,031.30"
TR83,109293 6909,MEN,RED,True Religion Ss Skeleton Hs Embro Tee Trv Red,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R17,031.30"
TR84,109295 1001,MEN,BLACK,True Religion Ss Made Fresh Tee Jet Black,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R17,031.30"
TR85,109295 1700,MEN,WHITE,True Religion Ss Made Fresh Tee Optic White,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,4,1,,,,,27,"R16,423.04"
TR86,109296 1001,MEN,BLACK,True Religion Ss Crinkle Paint Tee Jet Black,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R17,031.30"
TR87,109296 1700,MEN,WHITE,True Religion Ss Crinkle Paint Tee Optic White,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R17,031.30"
TR88,109296 6909,MEN,RED,True Religion Ss Crinkle Paint Tee Trv Red,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R17,031.30"
TR89,109297 1001,MEN,BLACK,True Religion Ss Flock Oversized Tee Jet Black,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R17,031.30"
TR90,109297 4002,MEN,BLUE,True Religion Ss Flock Oversized Tee Midnight Blue,R608.26,"R1,399.00",T-Shirts,2,4,5,5,5,4,2,,,,,27,"R16,423.04"
TR91,109297 6909,MEN,RED,True Religion Ss Flock Oversized Tee Trv Red,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R17,031.30"
TR92,109298 1001,MEN,BLACK,True Religion Ss Registered Hs Beach Tee Jet Black,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R17,031.30"
TR93,109298 1700,MEN,WHITE,True Religion Ss Registered Hs Beach Tee Optic White,R608.26,"R1,399.00",T-Shirts,2,5,5,5,5,4,2,,,,,28,"R17,031.30"
TR94,109318 1787,MEN,MULTI,True Religion Aop Sn Board Short White / Mix,R869.13,"R1,999.00",Shorts,,3,3,3,3,2,1,,,,,15,"R13,036.96"
TR95,109220 ISRD,MEN,DARK WASH,True Religion Rocco Super T No Flap 32In Dark Wash,"R2,390.87","R5,499.00",Jeans,3,4,5,5,5,5,5,4,3,3,3,45,"R107,589.13"
TR96,109468 1001,MEN,BLACK,True Religion Baggy Utlity Big T Pant Black,"R1,738.70","R3,999.00",Pants,3,3,3,3,3,3,3,3,2,2,,28,"R48,683.48"
TR97,109468 2701,MEN,TRAVERTINE,True Religion Baggy Utlity Big T Pant Travertine,"R1,738.70","R3,999.00",Pants,3,3,3,3,3,3,3,3,2,2,,28,"R48,683.48"
TR98,109469 2SB,MEN,BLACK,True Religion Ricky Bigt Nf Buddha Embr 34In 2Sb Black Rinse,"R1,738.70","R3,999.00",Jeans,3,4,4,3,4,4,4,4,3,3,2,38,"R66,070.43"
TR99,109951 ISRD,MEN,DARK WASH,True Religion Vinny Sn Nf Buddha Embro 34In Dark Wash,"R1,651.74","R3,799.00",Jeans,3,4,4,4,4,4,4,4,3,3,2,39,"R64,417.83"
TR100,109234 IYGB,MEN,DARK WASH,True Religion Rocco Sn No Flap 32In Resistance Black Wash,"R1,390.87","R3,199.00",Jeans,3,4,4,4,4,4,4,4,3,3,2,39,"R54,243.91"
TR101,109235 IZQD,MEN,DARK WASH,True Religion Ricky Sn Flap 34In Street Lights Dark Wash,"R1,390.87","R3,199.00",Jeans,3,4,4,4,4,4,4,4,3,3,2,39,"R54,243.91"
TR102,109237 IYMM,MEN,MEDIUM WASH,True Religion Vinny Tear Away Sn Flp 32In Whisper Medium Wash,"R1,738.70","R3,999.00",Jeans,3,4,4,4,4,4,4,4,3,3,2,39,"R67,809.13"
TR103,109242 2SB,MEN,BLACK,True Religion Bobby Flap Rope Stitch Short 2Sb Black Rinse,"R1,738.70","R3,999.00",Shorts,2,3,3,3,3,3,3,2,2,,,24,"R41,728.70"
TR104,109702 IYYD,MEN,DARK WASH,True Religion Vinny Rope Stitch Short Flap Jackknife Dark Wash,"R1,738.70","R3,999.00",Shorts,2,,3,,3,,3,2,1,,,14,"R24,341.74"
TR105,109224 OPW,MEN,WHITE,True Religion Ricky Nf Super T 34In Optic White,"R2,390.87","R5,499.00",Jeans,3,4,4,4,4,4,4,4,3,2,2,38,"R90,853.04"
TR106,109283 1001,MEN,BLACK,True Religion Mesh Srs Pullover Hoodie Jet Black,"R1,651.74","R3,799.00",Hoodies And Sweaters,,4,4,4,4,2,1,,,,,19,"R31,383.04"
TR107,109299 1001,MEN,BLACK,True Religion Ss Ombre Graphic Tee Jet Black,R608.26,"R1,399.00",T-Shirts,,5,5,5,5,3,2,,,,,25,"R15,206.52"
TR108,109299 1700,MEN,WHITE,True Religion Ss Ombre Graphic Tee Optic White,R608.26,"R1,399.00",T-Shirts,,5,5,5,5,3,2,,,,,25,"R15,206.52"
TR109,109300 1001,MEN,BLACK,True Religion Ss Vintage Puff Buddha Tee Jet Black,R695.22,"R1,599.00",T-Shirts,,5,5,5,5,3,2,,,,,25,"R17,380.43"
TR110,109300 1601,MEN,BUCKTHORN,True Religion Ss Vintage Puff Buddha Tee Buckthorn,R695.22,"R1,599.00",T-Shirts,,5,5,5,5,3,2,,,,,25,"R17,380.43"
TR111,109300 4002,MEN,NAVY,True Religion Ss Vintage Puff Buddha Tee Midnight,R695.22,"R1,599.00",T-Shirts,,5,5,5,5,3,2,,,,,25,"R17,380.43"
TR112,109700 6909,MEN,TRAVERTINE,True Religion Mesh Baggy Sweatpants Trv Red,"R1,260.43","R2,899.00",Joggers And Swetpants,,4,4,4,4,2,1,,,,,19,"R23,948.26"
TR113,109261 IYQD,MEN,DARK WASH,True Religion Rocco Super T Nf 32In Dark Wash,"R2,390.87","R5,499.00",Jeans,3,3,3,2,2,2,,2,,,2,19,"R45,426.52"
TR114,208942 IXJM,WOMEN,INDIGO,True Religion Jennie Mr Skinny Flap Sup T Royal Indigo,"R2,390.87","R5,499.00",Jeans,3,3,3,3,3,3,3,3,3,2,2,31,"R74,116.96"
TR115,208941 INWL,WOMEN,GISELLE,True Religion Becca Mr Bootcut Flap Sup T Giselle,"R2,390.87","R5,499.00",Jeans,3,3,3,3,3,3,3,3,3,2,2,31,"R74,116.96"
TR116,208943 IZFD,WOMEN,TEAL,True Religion Low Rise Billie St Flap Sup T Twilight Teal,"R2,390.87","R5,499.00",Jeans,3,3,3,3,3,3,3,3,3,2,2,31,"R74,116.96"
TR117,208956 IZB1,WOMEN,FROST,True Religion Front Zip Pkt Becca Mr Bootcut Polar Frost,"R1,651.74","R3,799.00",Jeans,3,4,4,4,4,4,4,3,3,2,2,37,"R61,114.35"
TR118,208955 IXJM,WOMEN,INDIGO,True Religion I Love True Jennie Mr Skinny Royal Indigo,"R1,651.74","R3,799.00",Jeans,3,4,4,4,4,4,4,3,3,2,2,37,"R61,114.35"
TR119,209169 HWRN,WOMEN,PEAK SPOT,True Religion I Love True Becca Mr Bootcut Peak Spot,"R1,651.74","R3,799.00",Jeans,3,4,4,4,2,4,2,1,1,2,2,29,"R47,900.43"
TR120,208957 6713,WOMEN,SUNKIST CORAL,True Religion Becca Mr Boot Big T Flap Sunkist Coral,"R1,738.70","R3,999.00",Jeans,2,1,2,1,2,1,2,1,1,2,,15,"R26,080.43"
TR121,208957 3563,WOMEN,GREEN,True Religion Becca Mr Boot Big T Flap Daiquiri Green,"R1,738.70","R3,999.00",Jeans,2,1,2,1,2,1,2,1,1,2,,15,"R26,080.43"
TR122,208972 1702,WOMEN,WHITE,True Religion Varsity Bomber Jacket Winter White,"R1,999.57","R4,599.00",Jackets,3,4,4,4,4,3,,,,,,22,"R43,990.43"
TR123,209179 6713,WOMEN,CORAL,True Religion Cropped Vest Big T Sunkist Coral,"R1,260.43","R2,899.00",Tops And Tanks,3,3,3,1,,,,,,,,10,"R12,604.35"
TR124,209195 IZFD,WOMEN,TEAL,True Religion Denim Cropped Vest Sup T Twilight Teal,"R1,477.83","R3,399.00",Tops And Tanks,3,3,3,3,2,,,,,,,14,"R20,689.57"
